MKH	Họ và tên	Ngày sinh	Giới tính	Nhóm máu	Địa chỉ thường trú	Quốc tịch	Số điện thoại	Email	Số CCCD	Tình trạng hôn nhân	Tên đăng nhập hệ thống	Địa chỉ IP hoạt động	Số tài khoản ngân hàng	Tên ngân hàng	Điểm tín dụng CIC	Hồ sơ bệnh án / Sức khỏe	Tọa độ GPS vị trí	Mức thu nhập (VND)	Hình thức vay / Tài sản
1	An Đặng	10/9/1998	Nữ	AB	5 Mai Tổ, JohnXã, 998013	Việt Nam	8.65E+08	yduong@hotmail.com	7.51E+10	Đã kết hôn	dangjane	12.56.67.169	5.57E+11	MB Bank	1 (Tốt)	Cận thị, sức khỏe ổn định	15.55266, 103.48344	42.000.000 / tháng	Thế chấp Ô tô
2	Khoa Hoàng Phạm	22/05/1998	Nữ	A	90 Đặng Tổ, Quận JohnThành phố, 139934	Việt Nam	7.08E+08	johnduong@hotmail.com	1.21E+10	Đã kết hôn	lejohn	22.151.146.18	9.41E+11	Vietcombank	2 (Trung bình)	Huyết áp thấp, ổn định	15.85927, 105.18682	47.000.000 / tháng	Tín chấp
3	Quý ông Châu Bùi	14/04/1984	Nữ	O	26 Nguyễn Tổ, JohnThành phố, 111135	Việt Nam	3.22E+08	ble@yahoo.com	9.2E+10	Độc thân	wnguyen	105.238.156.252	3.59E+11	SHB	1 (Tốt)	Huyết áp thấp, ổn định	20.33828, 107.90671	8.000.000 / tháng	Tín chấp
4	Châu Phú Mai	5/10/1999	Nam	AB	5 Phạm Dãy, JohnXã, 612722	Việt Nam	9.19E+08	jane57@yahoo.com	2.11E+10	Độc thân	jane62	176.16.123.85	8.23E+11	Techcombank	1 (Tốt)	Khỏe mạnh, lâm sàng bình thường	22.88836, 106.46485	46.000.000 / tháng	Thế chấp Bất động sản
5	Chị Hải Mai	7/9/2001	Nữ	AB	2 John Làng, JohnHuyện, 403240	Việt Nam	8.69E+08	yhoang@hotmail.com	5.11E+10	Độc thân	rhoang	108.177.164.190	7.20E+11	SHB	2 (Trung bình)	Bình thường, không có bệnh lý nền	11.43159, 108.60719	9.000.000 / tháng	Thế chấp Ô tô
6	Tùng Thế Nguyễn	9/8/1974	Nam	B	237 Vũ Hẻm, JohnQuận, 774496	Việt Nam	9.82E+08	jane86@hotmail.com	6.51E+10	Độc thân	tranjohn	220.26.100.202	6.24E+11	BIDV	N/A (Mới)	Khỏe mạnh, lâm sàng bình thường	16.42095, 102.85008	55.000.000 / tháng	Thế chấp Bất động sản
7	An Đức Phạm	20/11/2000	Nam	O	201 John Tổ, JaneHuyện, 556771	Việt Nam	8.63E+08	johnvu@hotmail.com	2.11E+10	Độc thân	vujohn	90.250.165.177	4.53E+11	BIDV	N/A (Mới)	Bình thường, không có bệnh lý nền	22.73367, 102.01205	25.000.000 / tháng	Tín chấp
8	Yến Hoàng	25/02/1976	Nữ	AB	686 Bùi Đường, JaneThị xã, 426784	Việt Nam	3.58E+08	buijohn@yahoo.com	9.21E+10	Đã kết hôn	vujane	106.226.5.58	1.02E+11	SHB	3 (Rủi ro)	Huyết áp thấp, ổn định	21.64242, 104.24549	56.000.000 / tháng	Tín chấp
9	Trọng Mai Đặng	28/11/1984	Nam	B	24 Lê Ngõ, Huyện JaneThị xã, 564015	Việt Nam	3.55E+08	janele@gmail.com	5.1E+10	Đã kết hôn	xmai	9.9.238.131	7.34E+11	Techcombank	2 (Trung bình)	Huyết áp thấp, ổn định	15.15796, 108.91817	13.000.000 / tháng	Tín chấp
10	Thành Mai Lê	30/10/1975	Nữ	B	31 John Hẻm, Thị xã JaneThành phố, 475746	Việt Nam	9.03E+08	hoangjane@hotmail.com	6.8E+10	Đã kết hôn	sle	75.29.219.38	3.56E+11	MB Bank	N/A (Mới)	Tiền sử đau dạ dày nhẹ	20.37274, 108.52944	36.000.000 / tháng	Tín chấp
11	Bà Chi Dương	6/4/1997	Nữ	O	8 John Làng, JohnThành phố, 791903	Việt Nam	7.08E+08	jane19@yahoo.com	5.81E+10	Đã kết hôn	janebui	182.241.2.49	9.44E+11	Techcombank	1 (Tốt)	Cận thị, sức khỏe ổn định	10.4126, 108.94803	11.000.000 / tháng	Tín chấp
12	Ánh Vũ	4/2/1975	Nam	AB	0 Mai Số, Thị xã JohnPhường, 934876	Việt Nam	9.18E+08	tranjohn@gmail.com	7.5E+10	Độc thân	nguyenjohn	20.230.236.96	7.29E+10	SHB	1 (Tốt)	Bình thường, không có bệnh lý nền	10.72556, 105.56335	41.000.000 / tháng	Thế chấp Bất động sản
13	Khoa Phạm	30/12/2005	Nữ	AB	614 John Làng, JohnXã, 403133	Việt Nam	9.03E+08	jane07@yahoo.com	6.61E+10	Đã kết hôn	phamjane	102.11.253.206	4.67E+11	BIDV	2 (Trung bình)	Bình thường, không có bệnh lý nền	11.28692, 104.98565	12.000.000 / tháng	Thế chấp Bất động sản
14	Bác Hoàng Phạm	15/04/1986	Nữ	O	072 John Số, JohnThị xã, 585232	Việt Nam	9.84E+08	johnhoang@hotmail.com	1.01E+10	Độc thân	jane79	188.138.180.48	4.43E+11	BIDV	N/A (Mới)	Bình thường, không có bệnh lý nền	18.10561, 102.41206	44.000.000 / tháng	Tín chấp
15	Bảo Hải Bùi	3/6/1990	Nữ	A	23 Lê Tổ, JaneQuận, 396424	Việt Nam	3.56E+08	jane38@hotmail.com	9.21E+10	Độc thân	avu	16.254.158.48	7.66E+11	Vietcombank	3 (Rủi ro)	Bình thường, không có bệnh lý nền	11.99657, 108.4008	37.000.000 / tháng	Thế chấp Ô tô
16	Cô Xuân Mai	26/08/1962	Nữ	O	2 Jane Tổ, JohnXã, 873364	Việt Nam	9.66E+08	johnhoang@yahoo.com	2.51E+10	Độc thân	cvu	198.35.72.14	6.99E+11	MB Bank	1 (Tốt)	Huyết áp thấp, ổn định	19.87664, 108.09754	45.000.000 / tháng	Thế chấp Bất động sản
17	Linh Hoàng	30/07/1978	Nam	B	JohnHuyện, 80 Jane Dãy, 592732	Việt Nam	9.88E+08	ztran@yahoo.com	6.7E+10	Độc thân	wtran	156.44.97.111	8.89E+11	Techcombank	N/A (Mới)	Cận thị, sức khỏe ổn định	21.13008, 106.6687	41.000.000 / tháng	Thế chấp Bất động sản
18	Quý cô Hà Nguyễn	23/06/1989	Nam	B	105 Jane Tổ, Thị xã JohnThị xã, 100369	Việt Nam	7.03E+08	jane26@yahoo.com	4.3E+10	Độc thân	jane95	199.184.161.167	5.99E+11	Techcombank	2 (Trung bình)	Tiền sử đau dạ dày nhẹ	22.67122, 104.66794	12.000.000 / tháng	Thế chấp Ô tô
19	Vũ Tấn Vũ	4/5/1976	Nam	O	346 Lê Khu, Quận JaneThành phố, 846482	Việt Nam	9.14E+08	bpham@gmail.com	3.51E+10	Đã kết hôn	jane90	180.79.1.17	2.93E+11	Vietcombank	1 (Tốt)	Bình thường, không có bệnh lý nền	15.58644, 106.6009	19.000.000 / tháng	Thế chấp Bất động sản
20	Hạnh Mai Mai	9/6/1996	Nữ	B	37 Lê Số, JohnQuận, 395277	Việt Nam	3.52E+08	ydang@yahoo.com	8.01E+10	Đã kết hôn	john79	69.70.208.216	8.75E+11	MB Bank	2 (Trung bình)	Khỏe mạnh, lâm sàng bình thường	17.06852, 108.23053	30.000.000 / tháng	Thế chấp Ô tô
21	Dương Đặng	27/04/1993	Nam	A	2 Jane Ngõ, JaneThành phố, 608426	Việt Nam	9.64E+08	janebui@hotmail.com	2.41E+10	Đã kết hôn	nnguyen	23.34.247.166	7.92E+11	Techcombank	3 (Rủi ro)	Cận thị, sức khỏe ổn định	19.42969, 106.2081	60.000.000 / tháng	Thế chấp Ô tô
22	Nhật Nguyễn	28/04/1998	Nam	O	2 Jane Dãy, Thành phố JohnHuyện, 536642	Việt Nam	8.67E+08	jane83@hotmail.com	4.11E+10	Độc thân	nguyenjohn	168.89.129.252	8.40E+11	MB Bank	2 (Trung bình)	Cận thị, sức khỏe ổn định	13.68711, 107.57915	31.000.000 / tháng	Tín chấp
23	Quý cô Lâm Trần	7/6/1977	Nam	A	604 Lê Dãy, Thị xã JohnQuận, 745855	Việt Nam	8.7E+08	janenguyen@gmail.com	1.7E+10	Độc thân	buijane	166.114.240.81	8.97E+11	SHB	N/A (Mới)	Khỏe mạnh, lâm sàng bình thường	17.69873, 108.99204	55.000.000 / tháng	Thế chấp Ô tô
24	Trọng Dương	23/11/1986	Nữ	AB	1 Dương Dãy, Huyện JaneHuyện, 257834	Việt Nam	7.02E+08	duongjane@yahoo.com	1.31E+10	Độc thân	john95	36.233.215.75	4.06E+11	Vietcombank	3 (Rủi ro)	Huyết áp thấp, ổn định	13.05748, 108.76803	55.000.000 / tháng	Thế chấp Bất động sản
25	Huy Văn Lê	8/1/1961	Nữ	B	3 Jane Dãy, JohnQuận, 271451	Việt Nam	9.63E+08	jane31@gmail.com	9.1E+10	Đã kết hôn	janebui	155.52.230.203	4.82E+11	SHB	3 (Rủi ro)	Huyết áp thấp, ổn định	20.89941, 106.46048	24.000.000 / tháng	Thế chấp Bất động sản
26	Bác Nam Trần	3/3/1966	Nam	AB	8 Trần Ngõ, JohnHuyện, 629481	Việt Nam	9.69E+08	john48@hotmail.com	7.21E+10	Đã kết hôn	johnvu	27.20.224.10	2.73E+11	BIDV	2 (Trung bình)	Huyết áp thấp, ổn định	12.54866, 108.56427	57.000.000 / tháng	Thế chấp Bất động sản
27	Quý cô Ánh Bùi	14/07/1966	Nữ	AB	82 Jane Ngõ, JohnPhường, 385521	Việt Nam	9.84E+08	jane24@yahoo.com	4.51E+10	Đã kết hôn	janele	74.41.146.39	2.13E+10	Techcombank	2 (Trung bình)	Khỏe mạnh, lâm sàng bình thường	19.60046, 104.43904	39.000.000 / tháng	Thế chấp Bất động sản
28	Hoàng Hải Bùi	17/08/1977	Nữ	B	0 Jane Khu, Quận JaneXã, 666038	Việt Nam	7.09E+08	janenguyen@hotmail.com	4.71E+10	Đã kết hôn	duongjane	175.48.11.212	6.86E+11	BIDV	3 (Rủi ro)	Huyết áp thấp, ổn định	20.71522, 107.54534	56.000.000 / tháng	Thế chấp Ô tô
29	Hưng Dương	9/2/1986	Nam	A	43 Bùi Tổ, JohnThành phố, 129426	Việt Nam	8.65E+08	phamjohn@yahoo.com	9.71E+10	Đã kết hôn	ymai	9.75.229.226	8.83E+11	BIDV	1 (Tốt)	Cận thị, sức khỏe ổn định	14.26434, 102.40692	10.000.000 / tháng	Tín chấp
